month,observations,avg_price_eur_mwh,min_price_eur_mwh,max_price_eur_mwh,avg_load_mw,avg_solar_mw,avg_wind_mw
2015-01,2755,29.363618874773138,-60.9,90.0,6837.00384754991,18.987727767695098,756.6089364791288
2015-02,2688,38.89063988095238,-20.17,123.7,7854.985416666666,48.888638392857146,684.3399776785715
2015-03,2964,31.098589743589745,-149.0,381.11,7348.230094466937,85.87924426450742,705.1344095816464
2015-04,2880,30.458024305555554,-15.08,76.03,6729.242222222222,127.47874305555555,735.6024270833333
2015-05,2976,25.206182795698926,-33.21,60.36,5989.438709677419,131.4120698924731,549.7748689516129
2015-06,2880,29.9805625,-1.11,61.51,6335.229027777777,139.52904166666667,355.6216145833333
2015-07,2976,35.39228830645161,-16.34,74.33,6478.168279569893,147.74932123655913,331.69879704301076
2015-08,2976,31.55287298387097,-10.0,59.11,6096.2743279569895,144.48187163978494,358.5480678763441
2015-09,2880,32.268680555555555,-6.5,70.32,6267.872777777778,112.6416875,762.4736145833333
2015-10,2976,38.437923387096774,10.42,74.68,6832.366666666667,77.38953293010752,472.0771538978495
2015-11,2880,32.358385416666664,-18.0,79.0,7175.517916666667,52.45914583333333,698.2292743055556
2015-12,2976,28.456273521505377,-32.69,67.01,7199.679032258065,33.7933434139785,360.1118313172043
2016-01,2976,29.58302755376344,-12.69,119.82,7942.055510752688,28.268760080645162,520.8404469086022
2016-02,2784,22.448204022988506,-23.88,56.0,7798.691810344828,63.41611350574713,898.7713900862069
2016-03,2968,24.165448113207546,-2.32,48.51,7555.307277628032,106.64636118598382,712.8038510781671
2016-04,2880,25.266322916666667,-0.7,84.18,6860.111944444445,146.30160416666666,690.6934201388889
2016-05,2964,23.016774628879894,-102.63,52.54,6463.538596491228,160.30022604588393,677.4507489878542
2016-06,2796,27.558150929899856,3.86,48.98,6634.785979971388,155.3942775393419,329.1832403433476
2016-07,2976,27.134727822580643,-7.14,53.4,6481.20188172043,156.16610887096775,498.3730141129032
2016-08,2976,27.261461693548387,-10.14,52.99,6404.760752688172,159.5436827956989,465.86807123655916
2016-09,2880,30.151302083333334,5.69,56.49,6782.241527777778,137.24265277777778,307.8169652777778
2016-10,2880,36.95354861111111,-5.6,90.3,7091.63,82.42431944444445,649.7491770833333
2016-11,2880,39.17813541666667,-27.94,150.0,7859.585,51.08686458333333,831.2974166666667
2016-12,2976,37.760846774193546,-66.93,100.08,7892.0280913978495,36.32255712365591,722.7503225806452
2017-01,2976,51.39903561827957,-14.8,168.85,8526.470967741936,26.620940860215054,846.9232762096774
2017-02,2688,40.53871279761905,-22.16,88.82,8128.086160714286,76.584453125,662.4453273809523
2017-03,2968,31.50556603773585,-16.62,71.25,7440.814420485175,124.94116239892183,860.9975640161725
2017-04,2880,28.92415972222222,-52.4,69.06,6885.834861111111,160.72577430555555,1000.3951805555556
2017-05,2976,31.735346102150537,-6.01,63.27,6580.360349462366,205.92914314516128,690.1984778225807
2017-06,2880,30.22754513888889,-13.1,59.0,6636.057777777778,211.16136805555556,389.9984861111111
2017-07,2976,33.50919690860215,-19.22,55.98,6570.198655913979,196.91303427419354,587.2002419354839
2017-08,2976,30.772503360215055,-31.06,57.37,6523.104704301075,202.37136088709678,547.7191330645161
2017-09,2880,34.689368055555555,-19.7,64.9,6925.767361111111,146.19216319444445,813.9267083333333
2017-10,2976,33.127399193548385,-91.94,138.4,7027.44435483871,112.50140456989247,929.7921438172043
2017-11,2880,40.12905555555555,-102.34,138.0,7941.59625,60.08566319444444,793.2381909722222
2017-12,2976,30.703807123655913,-66.38,103.69,7945.517876344086,40.41477822580645,1078.6243615591397
2018-01,2976,29.832547043010752,-69.19,78.5,8011.777553763441,45.677718413978496,805.4053931451613
2018-02,2688,40.154888392857146,-8.73,85.0,8371.290327380952,72.36113467261904,665.242808779762
2018-03,2968,36.82658355795148,-50.58,89.84,8044.927762803234,126.53174191374663,762.6407142857142
2018-04,2880,31.859527777777778,-21.93,75.02,6729.88375,226.57743055555557,935.7259340277777
2018-05,2976,32.63265120967742,-80.0,70.13,6520.4012096774195,248.98389112903226,454.35895161290324
2018-06,2880,42.67315625,2.0,80.31,6775.710694444444,263.9357152777778,708.4772083333334
2018-07,2976,49.22150201612903,-3.07,76.26,6432.864919354839,274.9760315860215,562.111817876344
2018-08,2976,56.660618279569896,5.88,98.41,6725.013978494624,243.10992943548388,455.5932123655914
2018-09,2880,55.504190972222226,-30.5,107.24,6868.421805555556,191.2354375,561.0688888888889
2018-10,183,61.11754098360656,-149.99,977.74,7641.8426229508195,154.75409836065575,983.4972677595629
