time,avg_price_eur_mwh,avg_load_mw,avg_solar_mw,avg_wind_mw
00:00,29.582979502196192,5707.2632503660325,0.0,684.4468960468521
00:15,25.269143484626646,5647.910688140556,0.0,682.9409516837482
00:30,23.58493411420205,5596.674084919473,0.0,682.5294875549048
00:45,21.30307467057101,5544.394729136164,0.0,681.3873206442167
01:00,25.626102564102563,5536.613626373626,0.0,679.5071794871795
01:15,23.59268131868132,5497.9115018315015,0.0,676.4036923076923
01:30,23.198673992673992,5466.337875457875,0.0,674.7060439560439
01:45,23.272058608058607,5445.675311355311,0.0,674.5085274725275
02:00,20.903135095447873,5462.958002936857,0.001527165932452276,672.7815418502203
02:15,22.735249632892806,5467.368575624082,0.003568281938325991,670.2934067547724
02:30,24.62367107195301,5485.22966226138,0.0057342143906020555,667.7601321585903
02:45,27.295345080763582,5521.0872246696035,0.00801762114537445,664.4830029368576
03:00,19.08577826725404,5658.350660792951,0.8579221732745962,662.9580616740088
03:15,22.71983113069016,5739.284875183554,1.7595961820851689,660.5129368575624
03:30,26.95112334801762,5828.518649045522,2.7300881057268724,658.7942878120411
03:45,32.8715859030837,5952.179441997063,3.7287444933920706,655.4901395007342
04:00,19.110827232796485,6231.554612005856,7.677840409956076,651.9504319180088
04:15,27.375439238653,6409.23308931186,12.038550512445095,646.4790849194729
04:30,33.82872620790629,6549.589751098097,16.48391654465593,640.4015959004392
04:45,39.91985358711567,6690.996193265008,21.177020497803806,632.9304831625183
05:00,25.58822840409956,7008.244216691069,35.95887262079063,623.8062371888726
05:15,34.126303074670574,7167.132650073207,46.33672035139092,615.3496852122987
05:30,39.91856515373353,7291.8732064421665,57.035592972181554,605.433008784773
05:45,44.27300878477306,7405.278184480234,67.98392386530014,596.1316617862371
06:00,38.159450951683745,7629.03953147877,88.03600292825769,587.4795387994144
06:15,41.06931185944363,7715.154319180087,105.83948023426062,579.9869692532943
06:30,41.59764275256222,7773.749048316252,123.86647144948755,572.7937335285505
06:45,40.44646412884334,7826.89224011713,142.0333235724744,567.8257979502196
07:00,43.3848682284041,7866.510688140556,163.9644289897511,564.8184480234261
07:15,41.78725676664228,7909.108705193855,185.88987564008778,562.4385369422092
07:30,39.47841989758596,7951.146744696415,207.97105340160937,561.4639429407462
07:45,35.66847841989759,7981.157863935626,230.08416239941477,561.0536210680322
08:00,43.148836869056325,7989.346305779079,249.0492538405267,561.5492172640819
08:15,39.721236283833214,8025.124506217996,267.87240673006585,562.7899707388442
08:30,36.80125091441112,8057.108119970739,286.5245062179956,566.086027798098
08:45,33.09155815654719,8082.886320409656,304.84756400877836,571.0710826627652
09:00,40.42117776152158,8100.182004389173,320.1392831016825,575.9232991953182
09:15,38.29053401609364,8135.265544989027,335.09960497439647,581.6540673006584
09:30,36.32091441111924,8145.369714703731,349.8533650329188,588.9073299195318
09:45,32.47212143379664,8128.232333577176,364.3862911485004,595.4056547183613
10:00,39.35824433065106,8055.010972933431,373.938258961229,603.298734455011
10:15,35.92227505486467,8008.728895391368,383.0481711777615,609.0163350402341
10:30,33.698310168251645,7971.626042428676,391.8838917337235,613.0624579370885
10:45,30.648888076079004,7937.871836137528,400.5945866861741,617.1968324798829
11:00,37.70599853694221,7913.116313094367,400.1154864667154,621.5622457937088
11:15,33.88666422823702,7858.173811265545,399.14400877834674,624.6953255303584
11:30,31.51633504023409,7812.487783467447,397.95800292611557,627.5954279444038
11:45,28.286342355523043,7769.54762253109,396.5234308705194,630.7127651792246
12:00,32.032904169714705,7757.718215069495,388.48084857351864,635.1846964155084
12:15,31.579356254572055,7733.033211411851,379.9575347476225,639.2213972201902
12:30,31.121338697878567,7705.8636430138995,371.31391367959037,642.2088514996342
12:45,31.346013167520116,7669.437600585223,362.35446964155085,646.3051426481346
13:00,27.845713240673007,7663.594440380395,346.8142574981712,649.1618727139722
13:15,30.385310899780542,7641.024433065106,330.8104242867593,651.0789612289685
13:30,32.65872713972202,7626.014045354791,314.46079736649597,652.0097220190197
13:45,36.22069495245062,7604.038917337235,297.9144111192392,654.2810899780542
14:00,25.56769568397952,7608.0520848573515,277.14964155084124,656.5172567666423
14:15,30.830716898317483,7597.962253108998,255.98847841989758,657.1688514996342
14:30,35.72892465252377,7596.5852231163135,234.6230651060717,658.0720117044623
14:45,41.482809070958304,7604.487198244331,213.4166349670812,658.9515508412583
15:00,25.39212874908559,7646.401170446233,192.95144842721288,658.7013752743234
15:15,33.33337234820775,7675.618141916606,172.45144842721288,658.9689904901244
15:30,41.4802852962692,7718.330358449159,152.06206291148501,656.6570519385516
15:45,48.89974396488661,7758.273299195318,131.72997805413314,655.3275054864667
16:00,31.999319678127286,7816.538405267008,115.31937820043892,652.8112582297001
16:15,39.826254572055596,7841.937673738113,99.41903438185808,650.0170299926847
16:30,46.220424286759325,7867.380833942941,83.70428675932699,649.2558522311631
16:45,52.054762253109,7883.643013899049,68.32422823701536,648.1974689100219
17:00,43.786510607168985,7823.484418434528,52.65674469641551,648.6408193123629
17:15,44.932011704462326,7797.217849305048,42.569853694220924,650.892852962692
17:30,46.153672275054866,7774.231455742502,32.71100950987564,657.0665398683248
17:45,45.98913679590344,7737.405998536942,23.02452084857352,665.1620775420629
18:00,50.9735552304316,7619.738405267008,15.508229700073153,673.2365837600585
18:15,45.75219458668617,7550.014045354791,10.90347476225311,679.0531089978055
18:30,41.08454279444038,7479.312070226774,6.451280175566935,685.5178566203365
18:45,36.14765910753475,7394.764301389905,2.039012435991222,693.5854279444038
19:00,49.60610095098757,7252.560643745428,1.4743087051938553,698.3674323335772
19:15,42.660475493782,7146.699049012436,0.9453108997805413,701.5582443306511
19:30,35.944308705193855,7064.240234089247,0.47193855157278713,704.3958961228968
19:45,28.76955376737381,6959.71587417703,0.0008119970738844185,709.5324725676664
20:00,45.9077468910022,6929.2825164594005,0.0007388441843452816,711.0386978785662
20:15,40.34422092172641,6837.651792245793,0.0004096561814191661,711.9531602048281
20:30,32.21294806144843,6718.032772494514,0.0003291880029261156,712.5280321872714
20:45,24.63469641550841,6615.89524506218,0.0,711.4189392831017
21:00,43.01528163862473,6596.602194586686,0.0002487198244330651,709.4817629846378
21:15,36.66038771031456,6499.59209948793,0.0004974396488661302,706.176656912948
21:30,28.148610095098757,6389.23803950256,0.0007461594732991953,702.0314484272129
21:45,20.189853587115667,6303.26383601757,0.0009882869692532943,698.13317715959
22:00,38.19915080527086,6246.348169838946,0.0007540263543191801,695.9166105417277
22:15,31.69703513909224,6135.651537335286,0.0004978038067349927,694.0271522693997
22:30,25.24562225475842,6038.939385065886,0.00024890190336749636,692.1081551976574
22:45,19.04194729136164,5951.920351390922,0.0,689.9839165446559
23:00,33.688689604685216,5907.191508052709,0.0,689.7890922401172
23:15,28.2852196193265,5822.83748169839,0.0,687.1983382137628
23:30,24.361273792093705,5760.7563689604685,0.0,685.4703953147877
23:45,19.64340409956076,5696.7953147877015,0.0,685.2429648609077
